Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.18715,-0.0036641,-0.02,0,0,0,3.1393,0.39409,-7.8008E-16,5.8268E-18,0.075189,-1.3825E-15,0.46844,0,0,0,0,0,0,package://urdf_assembly7/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly7/meshes/base_link.STL,,track basic-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0022751,0.0027273,0.048,0,0,0,0.18755,0.00012837,5.4308E-06,-6.4792E-06,0.00016574,1.1697E-05,0.00010234,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_1.STL,,track mount-1,Origin_joint_1,,joint_1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_2,0.090372,0.0021784,0.02533,0,0,0,0.21327,6.0043E-05,-1.7244E-05,-2.7389E-06,0.0004247,-1.7683E-06,0.00044869,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_2.STL,,arm-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.0064986,-0.022747,0.08,1.5708,-1.5708,0,link_1,0,0,1,0.7,0.5,-1.8,1.8,,,,,,,,
link_3,0.090354,-0.0028115,0.02533,0,0,0,0.21327,5.9254E-05,2.9511E-06,-2.8323E-06,0.00042549,-1.6145E-06,0.00044869,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_3.STL,,arm-2,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.14998,0.0026764,0,3.1416,0,0,link_2,0,0,1,0.7,0.5,-1.8,1.8,,,,,,,,
link_4,0.08494,0.010214,0.029998,0,0,0,0.18066,5.1559E-05,-2.6282E-05,4.5854E-09,0.00044714,1.3936E-10,0.00041927,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly7/meshes/link_4.STL,,wrist assembly-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.1499,-0.0056031,0,3.1416,0,0,link_3,0,0,1,0.7,0.5,-1.8,1.8,,,,,,,,
